variant,block,key,year,value,material,region,before
r02_demand_efficiency_low,demand_transformation,service_activity_multiplier,2020,1.00,,,1.00
r02_demand_efficiency_low,demand_transformation,service_activity_multiplier,2025,1.01,,,
r02_demand_efficiency_low,demand_transformation,service_activity_multiplier,2040,1.00,,,
r02_demand_efficiency_low,demand_transformation,service_activity_multiplier,2100,0.99,,,
r02_demand_efficiency_low,demand_transformation,material_intensity_multiplier,2020,1.00,,,1.00
r02_demand_efficiency_low,demand_transformation,material_intensity_multiplier,2025,0.95,,,
r02_demand_efficiency_low,demand_transformation,material_intensity_multiplier,2040,0.92,,,
r02_demand_efficiency_low,demand_transformation,material_intensity_multiplier,2100,0.90,,,
r02_demand_efficiency_low,demand_transformation,efficiency_improvement,2020,0.00,,,0.00
r02_demand_efficiency_low,demand_transformation,efficiency_improvement,2025,0.04,,,
r02_demand_efficiency_low,demand_transformation,efficiency_improvement,2040,0.05,,,
r02_demand_efficiency_low,demand_transformation,efficiency_improvement,2100,0.06,,,
r02_demand_efficiency_medium,demand_transformation,service_activity_multiplier,2020,1.00,,,1.00
r02_demand_efficiency_medium,demand_transformation,service_activity_multiplier,2025,1.00,,,
r02_demand_efficiency_medium,demand_transformation,service_activity_multiplier,2040,0.98,,,
r02_demand_efficiency_medium,demand_transformation,service_activity_multiplier,2100,0.96,,,
r02_demand_efficiency_medium,demand_transformation,material_intensity_multiplier,2020,1.00,,,1.00
r02_demand_efficiency_medium,demand_transformation,material_intensity_multiplier,2025,0.90,,,
r02_demand_efficiency_medium,demand_transformation,material_intensity_multiplier,2040,0.84,,,
r02_demand_efficiency_medium,demand_transformation,material_intensity_multiplier,2100,0.80,,,
r02_demand_efficiency_medium,demand_transformation,efficiency_improvement,2020,0.00,,,0.00
r02_demand_efficiency_medium,demand_transformation,efficiency_improvement,2025,0.08,,,
r02_demand_efficiency_medium,demand_transformation,efficiency_improvement,2040,0.10,,,
r02_demand_efficiency_medium,demand_transformation,efficiency_improvement,2100,0.11,,,
r02_demand_efficiency_high,demand_transformation,service_activity_multiplier,2020,1.00,,,1.00
r02_demand_efficiency_high,demand_transformation,service_activity_multiplier,2025,0.99,,,
r02_demand_efficiency_high,demand_transformation,service_activity_multiplier,2040,0.96,,,
r02_demand_efficiency_high,demand_transformation,service_activity_multiplier,2100,0.92,,,
r02_demand_efficiency_high,demand_transformation,material_intensity_multiplier,2020,1.00,,,1.00
r02_demand_efficiency_high,demand_transformation,material_intensity_multiplier,2025,0.84,,,
r02_demand_efficiency_high,demand_transformation,material_intensity_multiplier,2040,0.76,,,
r02_demand_efficiency_high,demand_transformation,material_intensity_multiplier,2100,0.70,,,
r02_demand_efficiency_high,demand_transformation,efficiency_improvement,2020,0.00,,,0.00
r02_demand_efficiency_high,demand_transformation,efficiency_improvement,2025,0.12,,,
r02_demand_efficiency_high,demand_transformation,efficiency_improvement,2040,0.15,,,
r02_demand_efficiency_high,demand_transformation,efficiency_improvement,2100,0.17,,,
r02_demand_efficiency_low,demand_transformation,material_intensity_multiplier,2025,0.93,,EU27,
r02_demand_efficiency_low,demand_transformation,material_intensity_multiplier,2040,0.89,,EU27,
r02_demand_efficiency_medium,demand_transformation,material_intensity_multiplier,2025,0.88,,EU27,
r02_demand_efficiency_medium,demand_transformation,material_intensity_multiplier,2040,0.81,,EU27,
r02_demand_efficiency_high,demand_transformation,material_intensity_multiplier,2025,0.80,,EU27,
r02_demand_efficiency_high,demand_transformation,material_intensity_multiplier,2040,0.72,,EU27,
r02_demand_efficiency_low,demand_transformation,material_intensity_multiplier,2025,0.97,,RoW,
r02_demand_efficiency_low,demand_transformation,material_intensity_multiplier,2040,0.94,,RoW,
r02_demand_efficiency_medium,demand_transformation,material_intensity_multiplier,2025,0.92,,RoW,
r02_demand_efficiency_medium,demand_transformation,material_intensity_multiplier,2040,0.87,,RoW,
r02_demand_efficiency_high,demand_transformation,material_intensity_multiplier,2025,0.86,,RoW,
r02_demand_efficiency_high,demand_transformation,material_intensity_multiplier,2040,0.79,,RoW,
